Species,tip.label,Phylum,Class,Order,Genus,hla,fsa,hla_count,fsa_count,hla_logcount,fsa_logcount
Mycena epipterygia,Mycena_epipterygia,Basidiomycota,Agaricomycetes,Agaricales,Mycena,Yes,Yes,2,1,0.693147181,0
Phlegmacium glaucopus,Phlegmacium_glaucopus,Basidiomycota,Agaricomycetes,Agaricales,Phlegmacium,Yes,Yes,2,1,0.693147181,0
Pleurotus djamor,Pleurotus_djamor,Basidiomycota,Agaricomycetes,Agaricales,Pleurotus,Yes,Yes,2,1,0.693147181,0
Pluteus cervinus,Pluteus_cervinus,Basidiomycota,Agaricomycetes,Agaricales,Pluteus,Yes,Yes,2,1,0.693147181,0
Tricholoma matsutake 945,Tricholoma_matsutake_945,Basidiomycota,Agaricomycetes,Agaricales,Tricholoma,Yes,Yes,2,1,0.693147181,0
Volvariella volvacea WC 439,Volvariella_volvacea_WC_439,Basidiomycota,Agaricomycetes,Agaricales,Volvariella,Yes,Yes,2,1,0.693147181,0
Piloderma croceum F 1598,Piloderma_croceum_F_1598,Basidiomycota,Agaricomycetes,Atheliales,Piloderma,Yes,Yes,2,1,0.693147181,0
Hygrophoropsis aurantiaca,Hygrophoropsis_aurantiaca,Basidiomycota,Agaricomycetes,Boletales,Hygrophoropsis,Yes,Yes,2,1,0.693147181,0
Pisolithus albus,Pisolithus_albus,Basidiomycota,Agaricomycetes,Boletales,Pisolithus,Yes,Yes,2,1,0.693147181,0
Suillus spraguei,Suillus_spraguei,Basidiomycota,Agaricomycetes,Boletales,Suillus,Yes,Yes,2,1,0.693147181,0
Punctularia strigosozonata HHB-11173 SS5,Punctularia_strigosozonata_HHB-11173_SS5,Basidiomycota,Agaricomycetes,Corticiales,Punctularia,Yes,Yes,2,1,0.693147181,0
Gloeophyllum trabeum ATCC 11539,Gloeophyllum_trabeum_ATCC_11539,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllum,Yes,Yes,2,1,0.693147181,0
Heliocybe sulcata,Heliocybe_sulcata,Basidiomycota,Agaricomycetes,Gloeophyllales,Heliocybe,Yes,Yes,2,1,0.693147181,0
Neolentinus lepideus HHB14362 ss-1,Neolentinus_lepideus_HHB14362_ss-1,Basidiomycota,Agaricomycetes,Gloeophyllales,Neolentinus,Yes,Yes,2,1,0.693147181,0
Ramaria rubella,Ramaria_rubella,Basidiomycota,Agaricomycetes,Gomphales,Ramaria,Yes,Yes,2,1,0.693147181,0
Coniferiporia weirii,Coniferiporia_weirii,Basidiomycota,Agaricomycetes,Hymenochaetales,Coniferiporia,Yes,Yes,2,1,0.693147181,0
Jaapia argillacea MUCL 33604,Jaapia_argillacea_MUCL_33604,Basidiomycota,Agaricomycetes,Jaapiales,Jaapia,Yes,Yes,2,1,0.693147181,0
Gelatoporia subvermispora B,Gelatoporia_subvermispora_B,Basidiomycota,Agaricomycetes,Polyporales,Gelatoporia,Yes,Yes,2,1,0.693147181,0
Rhodofomes roseus,Rhodofomes_roseus,Basidiomycota,Agaricomycetes,Polyporales,Rhodofomes,Yes,Yes,2,1,0.693147181,0
Amylostereum chailletii,Amylostereum_chailletii,Basidiomycota,Agaricomycetes,Russulales,Amylostereum,Yes,Yes,2,1,0.693147181,0
Artomyces pyxidatus,Artomyces_pyxidatus,Basidiomycota,Agaricomycetes,Russulales,Artomyces,Yes,Yes,2,1,0.693147181,0
Hericium alpestre,Hericium_alpestre,Basidiomycota,Agaricomycetes,Russulales,Hericium,Yes,Yes,2,1,0.693147181,0
Heterobasidion irregulare TC 32-1,Heterobasidion_irregulare_TC_32-1,Basidiomycota,Agaricomycetes,Russulales,Heterobasidion,Yes,Yes,2,1,0.693147181,0
Stereum hirsutum FP-91666 SS1,Stereum_hirsutum_FP-91666_SS1,Basidiomycota,Agaricomycetes,Russulales,Stereum,Yes,Yes,2,1,0.693147181,0
Serendipita vermifera MAFF 305830,Serendipita_vermifera_MAFF_305830,Basidiomycota,Agaricomycetes,Sebacinales,Serendipita,Yes,Yes,2,1,0.693147181,0
Thelephora ganbajun,Thelephora_ganbajun,Basidiomycota,Agaricomycetes,Thelephorales,Thelephora,Yes,Yes,2,1,0.693147181,0
Siphonaria sp. JEL0065,Siphonaria_sp._JEL0065,Chytridiomycota,Chytridiomycetes,Chytridiales,Siphonaria,Yes,Yes,2,3,0.693147181,1.098612289
Gigaspora margarita,Gigaspora_margarita,Mucoromycota,Glomeromycetes,Diversisporales,Gigaspora,Yes,Yes,2,1,0.693147181,0
Alyxoria varia,Alyxoria_varia,Ascomycota,Arthoniomycetes,Arthoniales,Alyxoria,Yes,No,1,0,0,-Inf
Botryosphaeria dothidea,Botryosphaeria_dothidea,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeria,Yes,No,1,0,0,-Inf
Lasiodiplodia theobromae,Lasiodiplodia_theobromae,Ascomycota,Dothideomycetes,Botryosphaeriales,Lasiodiplodia,Yes,No,1,0,0,-Inf
Macrophomina phaseolina MS6,Macrophomina_phaseolina_MS6,Ascomycota,Dothideomycetes,Botryosphaeriales,Macrophomina,Yes,No,1,0,0,-Inf
Rachicladosporium sp. CCFEE 5018,Rachicladosporium_sp._CCFEE_5018,Ascomycota,Dothideomycetes,Cladosporiales,Rachicladosporium,Yes,No,1,0,0,-Inf
Microthyrium microscopicum,Microthyrium_microscopicum,Ascomycota,Dothideomycetes,Microthyriales,Microthyrium,Yes,No,1,0,0,-Inf
Acidomyces richmondensis BFW,Acidomyces_richmondensis_BFW,Ascomycota,Dothideomycetes,Mycosphaerellales,Acidomyces,Yes,No,1,0,0,-Inf
Pseudocercospora eumusae,Pseudocercospora_eumusae,Ascomycota,Dothideomycetes,Mycosphaerellales,Pseudocercospora,Yes,No,1,0,0,-Inf
Pseudocercospora musae,Pseudocercospora_musae,Ascomycota,Dothideomycetes,Mycosphaerellales,Pseudocercospora,Yes,No,1,0,0,-Inf
Ramularia collo-cygni,Ramularia_collo-cygni,Ascomycota,Dothideomycetes,Mycosphaerellales,Ramularia,Yes,No,1,0,0,-Inf
Zymoseptoria brevis,Zymoseptoria_brevis,Ascomycota,Dothideomycetes,Mycosphaerellales,Zymoseptoria,Yes,No,1,0,0,-Inf
Sphaceloma murrayae,Sphaceloma_murrayae,Ascomycota,Dothideomycetes,Myriangiales,Sphaceloma,Yes,No,1,0,0,-Inf
Bipolaris maydis C5,Bipolaris_maydis_C5,Ascomycota,Dothideomycetes,Pleosporales,Bipolaris,Yes,No,1,0,0,-Inf
Bipolaris victoriae FI3,Bipolaris_victoriae_FI3,Ascomycota,Dothideomycetes,Pleosporales,Bipolaris,Yes,No,1,0,0,-Inf
Bipolaris zeicola 26-R-13,Bipolaris_zeicola_26-R-13,Ascomycota,Dothideomycetes,Pleosporales,Bipolaris,Yes,No,1,0,0,-Inf
Epicoccum nigrum,Epicoccum_nigrum,Ascomycota,Dothideomycetes,Pleosporales,Epicoccum,Yes,No,1,0,0,-Inf
Parastagonospora nodorum SN15,Parastagonospora_nodorum_SN15,Ascomycota,Dothideomycetes,Pleosporales,Parastagonospora,Yes,No,1,0,0,-Inf
Pyrenophora seminiperda CCB06,Pyrenophora_seminiperda_CCB06,Ascomycota,Dothideomycetes,Pleosporales,Pyrenophora,Yes,No,1,0,0,-Inf
Pyrenophora teres f. maculata,Pyrenophora_teres_f._maculata,Ascomycota,Dothideomycetes,Pleosporales,Pyrenophora,Yes,No,1,0,0,-Inf
Venturia effusa,Venturia_effusa,Ascomycota,Dothideomycetes,Venturiales,Venturia,Yes,No,1,0,0,-Inf
Cladophialophora bantiana CBS 173.52,Cladophialophora_bantiana_CBS_173.52,Ascomycota,Eurotiomycetes,Chaetothyriales,Cladophialophora,Yes,No,1,0,0,-Inf
Cladophialophora carrionii CBS 160.54,Cladophialophora_carrionii_CBS_160.54,Ascomycota,Eurotiomycetes,Chaetothyriales,Cladophialophora,Yes,No,1,0,0,-Inf
Cyphellophora europaea CBS 101466,Cyphellophora_europaea_CBS_101466,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophora,Yes,No,1,0,0,-Inf
Exophiala mesophila,Exophiala_mesophila,Ascomycota,Eurotiomycetes,Chaetothyriales,Exophiala,Yes,No,1,0,0,-Inf
Fonsecaea monophora,Fonsecaea_monophora,Ascomycota,Eurotiomycetes,Chaetothyriales,Fonsecaea,Yes,No,1,0,0,-Inf
Fonsecaea multimorphosa CBS 102226,Fonsecaea_multimorphosa_CBS_102226,Ascomycota,Eurotiomycetes,Chaetothyriales,Fonsecaea,Yes,No,1,0,0,-Inf
Fonsecaea nubica,Fonsecaea_nubica,Ascomycota,Eurotiomycetes,Chaetothyriales,Fonsecaea,Yes,No,1,0,0,-Inf
Aspergillus aculeatinus CBS 121060,Aspergillus_aculeatinus_CBS_121060,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus calidoustus,Aspergillus_calidoustus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus carbonarius ITEM 5010,Aspergillus_carbonarius_ITEM_5010,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus costaricaensis CBS 115574,Aspergillus_costaricaensis_CBS_115574,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus cristatus,Aspergillus_cristatus,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus ellipticus CBS 707.79,Aspergillus_ellipticus_CBS_707.79,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus eucalypticola CBS 122712,Aspergillus_eucalypticola_CBS_122712,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus fijiensis CBS 313.89,Aspergillus_fijiensis_CBS_313.89,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus fumigatus Z5,Aspergillus_fumigatus_Z5,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus ibericus CBS 121593,Aspergillus_ibericus_CBS_121593,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus japonicus CBS 114.51,Aspergillus_japonicus_CBS_114.51,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus luchuensis CBS 106.47,Aspergillus_luchuensis_CBS_106.47,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus neoniger CBS 115656,Aspergillus_neoniger_CBS_115656,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus niger CBS 101883,Aspergillus_niger_CBS_101883,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus piperis CBS 112811,Aspergillus_piperis_CBS_112811,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus rambellii,Aspergillus_rambellii,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus ruber CBS 135680,Aspergillus_ruber_CBS_135680,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus sclerotiicarbonarius CBS 121057,Aspergillus_sclerotiicarbonarius_CBS_121057,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus sclerotioniger CBS 115572,Aspergillus_sclerotioniger_CBS_115572,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus sydowii CBS 593.65,Aspergillus_sydowii_CBS_593.65,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus tubingensis CBS 134.48,Aspergillus_tubingensis_CBS_134.48,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus uvarum CBS 121591,Aspergillus_uvarum_CBS_121591,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus violaceofuscus CBS 115571,Aspergillus_violaceofuscus_CBS_115571,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Aspergillus welwitschiae,Aspergillus_welwitschiae,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,Yes,No,1,0,0,-Inf
Paecilomyces variotii No. 5,Paecilomyces_variotii_No._5,Ascomycota,Eurotiomycetes,Eurotiales,Paecilomyces,Yes,No,1,0,0,-Inf
Penicillium antarcticum,Penicillium_antarcticum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium camemberti,Penicillium_camemberti,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium digitatum PHI26,Penicillium_digitatum_PHI26,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium flavigenum,Penicillium_flavigenum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium griseofulvum,Penicillium_griseofulvum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium italicum,Penicillium_italicum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium nordicum,Penicillium_nordicum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium oxalicum 114-2,Penicillium_oxalicum_114-2,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium polonicum,Penicillium_polonicum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium roqueforti FM164,Penicillium_roqueforti_FM164,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium solitum,Penicillium_solitum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium subrubescens,Penicillium_subrubescens,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium verrucosum,Penicillium_verrucosum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Penicillium vulpinum,Penicillium_vulpinum,Ascomycota,Eurotiomycetes,Eurotiales,Penicillium,Yes,No,1,0,0,-Inf
Talaromyces marneffei ATCC 18224,Talaromyces_marneffei_ATCC_18224,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces,Yes,No,1,0,0,-Inf
Talaromyces verruculosus,Talaromyces_verruculosus,Ascomycota,Eurotiomycetes,Eurotiales,Talaromyces,Yes,No,1,0,0,-Inf
Ascosphaera apis ARSEF 7405,Ascosphaera_apis_ARSEF_7405,Ascomycota,Eurotiomycetes,Onygenales,Ascosphaera,Yes,No,1,0,0,-Inf
Blastomyces dermatitidis ER-3,Blastomyces_dermatitidis_ER-3,Ascomycota,Eurotiomycetes,Onygenales,Blastomyces,Yes,No,1,0,0,-Inf
Blastomyces gilchristii SLH14081,Blastomyces_gilchristii_SLH14081,Ascomycota,Eurotiomycetes,Onygenales,Blastomyces,Yes,No,1,0,0,-Inf
Blastomyces parvus,Blastomyces_parvus,Ascomycota,Eurotiomycetes,Onygenales,Blastomyces,Yes,No,1,0,0,-Inf
Blastomyces percursus,Blastomyces_percursus,Ascomycota,Eurotiomycetes,Onygenales,Blastomyces,Yes,No,1,0,0,-Inf
Coccidioides immitis RMSCC 2394,Coccidioides_immitis_RMSCC_2394,Ascomycota,Eurotiomycetes,Onygenales,Coccidioides,Yes,No,1,0,0,-Inf
Coccidioides posadasii RMSCC 3488,Coccidioides_posadasii_RMSCC_3488,Ascomycota,Eurotiomycetes,Onygenales,Coccidioides,Yes,No,1,0,0,-Inf
Paracoccidioides brasiliensis Pb03,Paracoccidioides_brasiliensis_Pb03,Ascomycota,Eurotiomycetes,Onygenales,Paracoccidioides,Yes,No,1,0,0,-Inf
Trichophyton mentagrophytes,Trichophyton_mentagrophytes,Ascomycota,Eurotiomycetes,Onygenales,Trichophyton,Yes,No,1,0,0,-Inf
Endocarpon pusillum,Endocarpon_pusillum,Ascomycota,Eurotiomycetes,Verrucariales,Endocarpon,Yes,No,1,0,0,-Inf
Blumeria graminis f. sp. tritici,Blumeria_graminis_f._sp._tritici,Ascomycota,Leotiomycetes,Erysiphales,Blumeria,Yes,No,1,0,0,-Inf
Botryotinia calthae,Botryotinia_calthae,Ascomycota,Leotiomycetes,Helotiales,Botryotinia,Yes,No,1,0,0,-Inf
Botryotinia convoluta,Botryotinia_convoluta,Ascomycota,Leotiomycetes,Helotiales,Botryotinia,Yes,No,1,0,0,-Inf
Botrytis byssoidea,Botrytis_byssoidea,Ascomycota,Leotiomycetes,Helotiales,Botrytis,Yes,No,1,0,0,-Inf
Botrytis elliptica,Botrytis_elliptica,Ascomycota,Leotiomycetes,Helotiales,Botrytis,Yes,No,1,0,0,-Inf
Botrytis galanthina,Botrytis_galanthina,Ascomycota,Leotiomycetes,Helotiales,Botrytis,Yes,No,1,0,0,-Inf
Botrytis hyacinthi,Botrytis_hyacinthi,Ascomycota,Leotiomycetes,Helotiales,Botrytis,Yes,No,1,0,0,-Inf
Botrytis paeoniae,Botrytis_paeoniae,Ascomycota,Leotiomycetes,Helotiales,Botrytis,Yes,No,1,0,0,-Inf
Botrytis sinoallii,Botrytis_sinoallii,Ascomycota,Leotiomycetes,Helotiales,Botrytis,Yes,No,1,0,0,-Inf
Botrytis tulipae,Botrytis_tulipae,Ascomycota,Leotiomycetes,Helotiales,Botrytis,Yes,No,1,0,0,-Inf
Coleophoma crateriformis,Coleophoma_crateriformis,Ascomycota,Leotiomycetes,Helotiales,Coleophoma,Yes,No,1,0,0,-Inf
Diplocarpon rosae,Diplocarpon_rosae,Ascomycota,Leotiomycetes,Helotiales,Diplocarpon,Yes,No,1,0,0,-Inf
Glarea lozoyensis 74030,Glarea_lozoyensis_74030,Ascomycota,Leotiomycetes,Helotiales,Glarea,Yes,No,1,0,0,-Inf
Marssonina coronariae,Marssonina_coronariae,Ascomycota,Leotiomycetes,Helotiales,Marssonina,Yes,No,1,0,0,-Inf
Rhynchosporium commune,Rhynchosporium_commune,Ascomycota,Leotiomycetes,Helotiales,Rhynchosporium,Yes,No,1,0,0,-Inf
Rutstroemia sp. NJR-2017a BVV2,Rutstroemia_sp._NJR-2017a_BVV2,Ascomycota,Leotiomycetes,Helotiales,Rutstroemia,Yes,No,1,0,0,-Inf
Sclerotinia borealis F-4128,Sclerotinia_borealis_F-4128,Ascomycota,Leotiomycetes,Helotiales,Sclerotinia,Yes,No,1,0,0,-Inf
Sclerotinia trifoliorum,Sclerotinia_trifoliorum,Ascomycota,Leotiomycetes,Helotiales,Sclerotinia,Yes,No,1,0,0,-Inf
Pseudogymnoascus destructans 20631-21,Pseudogymnoascus_destructans_20631-21,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,No,1,0,0,-Inf
Pseudogymnoascus sp. 23342-1-I1,Pseudogymnoascus_sp._23342-1-I1,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,No,1,0,0,-Inf
Pseudogymnoascus sp. VKM F-103,Pseudogymnoascus_sp._VKM_F-103,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,No,1,0,0,-Inf
Pseudogymnoascus sp. VKM F-3557,Pseudogymnoascus_sp._VKM_F-3557,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,No,1,0,0,-Inf
Pseudogymnoascus sp. WSF 3629,Pseudogymnoascus_sp._WSF_3629,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,No,1,0,0,-Inf
Morchella conica CCBAS932,Morchella_conica_CCBAS932,Ascomycota,Pezizomycetes,Pezizales,Morchella,Yes,No,1,0,0,-Inf
Ascoidea rubescens DSM 1968,Ascoidea_rubescens_DSM_1968,Ascomycota,Saccharomycetes,Saccharomycetales,Ascoidea,Yes,No,1,0,0,-Inf
Babjeviella inositovora NRRL Y-12698,Babjeviella_inositovora_NRRL_Y-12698,Ascomycota,Saccharomycetes,Saccharomycetales,Babjeviella,Yes,No,1,0,0,-Inf
Candida albicans P57055,Candida_albicans_P57055,Ascomycota,Saccharomycetes,Saccharomycetales,Candida,Yes,No,1,0,0,-Inf
Candida dubliniensis CD36,Candida_dubliniensis_CD36,Ascomycota,Saccharomycetes,Saccharomycetales,Candida,Yes,No,1,0,0,-Inf
Candida haemuloni var. vulneris,Candida_haemuloni_var._vulneris,Ascomycota,Saccharomycetes,Saccharomycetales,Candida,Yes,No,1,0,0,-Inf
Candida orthopsilosis Co 90-125,Candida_orthopsilosis_Co_90-125,Ascomycota,Saccharomycetes,Saccharomycetales,Candida,Yes,No,1,0,0,-Inf
Candida tropicalis MYA-3404,Candida_tropicalis_MYA-3404,Ascomycota,Saccharomycetes,Saccharomycetales,Candida,Yes,No,1,0,0,-Inf
Clavispora lusitaniae ATCC 42720,Clavispora_lusitaniae_ATCC_42720,Ascomycota,Saccharomycetes,Saccharomycetales,Clavispora,Yes,No,1,0,0,-Inf
Cyberlindnera jadinii NRRL Y-1542,Cyberlindnera_jadinii_NRRL_Y-1542,Ascomycota,Saccharomycetes,Saccharomycetales,Cyberlindnera,Yes,No,1,0,0,-Inf
Debaryomyces hansenii CBS767,Debaryomyces_hansenii_CBS767,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomyces,Yes,No,1,0,0,-Inf
Eremothecium cymbalariae DBVPG#7215,Eremothecium_cymbalariae_DBVPG#7215,Ascomycota,Saccharomycetes,Saccharomycetales,Eremothecium,Yes,No,1,0,0,-Inf
Eremothecium gossypii ATCC 10895,Eremothecium_gossypii_ATCC_10895,Ascomycota,Saccharomycetes,Saccharomycetales,Eremothecium,Yes,No,1,0,0,-Inf
Eremothecium sinecaudum,Eremothecium_sinecaudum,Ascomycota,Saccharomycetes,Saccharomycetales,Eremothecium,Yes,No,1,0,0,-Inf
Hyphopichia burtonii NRRL Y-1933,Hyphopichia_burtonii_NRRL_Y-1933,Ascomycota,Saccharomycetes,Saccharomycetales,Hyphopichia,Yes,No,1,0,0,-Inf
Kazachstania africana CBS 2517,Kazachstania_africana_CBS_2517,Ascomycota,Saccharomycetes,Saccharomycetales,Kazachstania,Yes,No,1,0,0,-Inf
Kazachstania naganishii CBS 8797,Kazachstania_naganishii_CBS_8797,Ascomycota,Saccharomycetes,Saccharomycetales,Kazachstania,Yes,No,1,0,0,-Inf
Kluyveromyces marxianus DMKU3-1042,Kluyveromyces_marxianus_DMKU3-1042,Ascomycota,Saccharomycetes,Saccharomycetales,Kluyveromyces,Yes,No,1,0,0,-Inf
Komagataella phaffii CBS 7435,Komagataella_phaffii_CBS_7435,Ascomycota,Saccharomycetes,Saccharomycetales,Komagataella,Yes,No,1,0,0,-Inf
Kuraishia capsulata CBS 1993,Kuraishia_capsulata_CBS_1993,Ascomycota,Saccharomycetes,Saccharomycetales,Kuraishia,Yes,No,1,0,0,-Inf
Lachancea lanzarotensis,Lachancea_lanzarotensis,Ascomycota,Saccharomycetes,Saccharomycetales,Lachancea,Yes,No,1,0,0,-Inf
Lachancea thermotolerans CBS 6340,Lachancea_thermotolerans_CBS_6340,Ascomycota,Saccharomycetes,Saccharomycetales,Lachancea,Yes,No,1,0,0,-Inf
Lipomyces starkeyi NRRL Y-11557,Lipomyces_starkeyi_NRRL_Y-11557,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomyces,Yes,No,1,0,0,-Inf
Lodderomyces elongisporus NRRL YB-4239,Lodderomyces_elongisporus_NRRL_YB-4239,Ascomycota,Saccharomycetes,Saccharomycetales,Lodderomyces,Yes,No,1,0,0,-Inf
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,Metschnikowia_bicuspidata_var._bicuspidata_NRRL_YB-4993,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowia,Yes,No,1,0,0,-Inf
Meyerozyma guilliermondii ATCC 6260,Meyerozyma_guilliermondii_ATCC_6260,Ascomycota,Saccharomycetes,Saccharomycetales,Meyerozyma,Yes,No,1,0,0,-Inf
Naumovozyma castellii CBS 4309,Naumovozyma_castellii_CBS_4309,Ascomycota,Saccharomycetes,Saccharomycetales,Naumovozyma,Yes,No,1,0,0,-Inf
Naumovozyma dairenensis CBS 421,Naumovozyma_dairenensis_CBS_421,Ascomycota,Saccharomycetes,Saccharomycetales,Naumovozyma,Yes,No,1,0,0,-Inf
Ogataea parapolymorpha DL-1,Ogataea_parapolymorpha_DL-1,Ascomycota,Saccharomycetes,Saccharomycetales,Ogataea,Yes,No,1,0,0,-Inf
Ogataea philodendri,Ogataea_philodendri,Ascomycota,Saccharomycetes,Saccharomycetales,Ogataea,Yes,No,1,0,0,-Inf
Pichia membranifaciens NRRL Y-2026,Pichia_membranifaciens_NRRL_Y-2026,Ascomycota,Saccharomycetes,Saccharomycetales,Pichia,Yes,No,1,0,0,-Inf
Saccharomyces eubayanus,Saccharomyces_eubayanus,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomyces,Yes,No,1,0,0,-Inf
Saccharomyces mikatae IFO 1815,Saccharomyces_mikatae_IFO_1815,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomyces,Yes,No,1,0,0,-Inf
Saccharomyces paradoxus,Saccharomyces_paradoxus,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomyces,Yes,No,1,0,0,-Inf
Saccharomyces uvarum,Saccharomyces_uvarum,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomyces,Yes,No,1,0,0,-Inf
Scheffersomyces stipitis CBS 6054,Scheffersomyces_stipitis_CBS_6054,Ascomycota,Saccharomycetes,Saccharomycetales,Scheffersomyces,Yes,No,1,0,0,-Inf
Spathaspora passalidarum NRRL Y-27907,Spathaspora_passalidarum_NRRL_Y-27907,Ascomycota,Saccharomycetes,Saccharomycetales,Spathaspora,Yes,No,1,0,0,-Inf
Sugiyamaella lignohabitans,Sugiyamaella_lignohabitans,Ascomycota,Saccharomycetes,Saccharomycetales,Sugiyamaella,Yes,No,1,0,0,-Inf
Suhomyces tanzawaensis NRRL Y-17324,Suhomyces_tanzawaensis_NRRL_Y-17324,Ascomycota,Saccharomycetes,Saccharomycetales,Suhomyces,Yes,No,1,0,0,-Inf
Tetrapisispora blattae CBS 6284,Tetrapisispora_blattae_CBS_6284,Ascomycota,Saccharomycetes,Saccharomycetales,Tetrapisispora,Yes,No,1,0,0,-Inf
Tetrapisispora phaffii CBS 4417,Tetrapisispora_phaffii_CBS_4417,Ascomycota,Saccharomycetes,Saccharomycetales,Tetrapisispora,Yes,No,1,0,0,-Inf
Wickerhamomyces anomalus NRRL Y-366-8,Wickerhamomyces_anomalus_NRRL_Y-366-8,Ascomycota,Saccharomycetes,Saccharomycetales,Wickerhamomyces,Yes,No,1,0,0,-Inf
Wickerhamomyces ciferrii,Wickerhamomyces_ciferrii,Ascomycota,Saccharomycetes,Saccharomycetales,Wickerhamomyces,Yes,No,1,0,0,-Inf
Yamadazyma tenuis ATCC 10573,Yamadazyma_tenuis_ATCC_10573,Ascomycota,Saccharomycetes,Saccharomycetales,Yamadazyma,Yes,No,1,0,0,-Inf
