tip.label,FSA,acidPhosphatase_count,alphaGlucosidase15_count,alphaGlucosidase31_count,alphaManNAase76_count,aminoAcidPermease_count,ammoniumTransporter_count,amylase88_count,auxinResponsivePromoter_count,betaGlucanSynthase_count,betaGlucosidase1_count,betaXylosidase43_count,cellobiohydrolase6_count,cellobiohydrolase7_count,chitinase_count,chitosanase8_count,coldShockProtein_count,crystalineCellulaseAA9_count,endoglucanase12_count,endoglucanase9_count,fungalLigninPeroxidase_count,glucosidase81_count,glycopeptidase85_count,glycoproteinSynthesis92_count,heatShockProtein_count,invertase32_count,melanin_count,nitrateTransporter_count,phosphateTransporter_count,RNAHelicase_count,RNApolymerase_count,trehalase_count,extension_rate,fruiting_body_size,spore_length,spore_size,spore_width,Cohens_d_Glucose,Cohens_d_Lignin,Cohens_d_Tannin,Cohens_d_Xylan,melanin_content,sporocarp_chitin,sporocarp_N,sporocarp_protein,sporocarp_resp,tissue_c,tissue_n,tissue_p
Macrophomina_phaseolina,0,13,2,11,9,2,3,5,0,2,8,20,0,3,10,0,0,10,3,0,3,3,0,6,4,5,11,0,2,15,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus_terreus,0,13,2,11,9,2,3,2,0,1,4,17,2,4,20,0,0,12,6,0,0,1,0,6,4,6,4,1,3,18,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus_clavatus,1,14,6,5,8,2,3,3,0,1,5,12,2,4,13,0,1,7,3,1,0,1,0,3,2,1,4,1,3,20,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletotrichum_graminicola,0,15,3,6,9,2,4,5,0,1,3,14,1,6,21,0,0,26,6,0,5,2,0,4,2,3,13,1,4,18,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletotrichum_gloeosporioides,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monilinia_laxa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryphonectria_parasitica,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botryosphaeria_dothidea,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadophora_sp.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blumeria_graminis,0,8,1,1,7,1,1,0,0,1,1,0,0,0,8,0,0,1,0,0,0,1,0,2,17,0,3,0,0,18,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus_nidulans,1,11,2,10,7,1,3,5,0,1,4,14,1,3,19,0,0,10,1,2,0,1,0,5,5,2,9,2,4,19,26,1,NA,NA,NA,NA,NA,-1.043498389,-0.559016994,-0.566166296,0.277363707,NA,NA,NA,NA,NA,NA,NA,NA
Fistulina_hepatica,1,8,3,5,2,0,1,6,0,2,1,2,0,4,13,0,0,5,2,0,0,4,1,7,9,0,3,0,0,19,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,40,46,NA,NA,NA
Fomitopsis_betulina,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.4,7,3,44,1.573333333,NA
Laetiporus_sulphureus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.4,189,9,44,2.97,0.4475
Calocera_viscosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.9,28,9,NA,NA,NA
Imleria_badia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.4,23,5,43.94285714,5.0125,0.578461538
Boletus_edulis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.3,107,10,44.059,5.995,0.498333333
Mycena_galericulata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,784,10.5,334.4853698,7.8,-0.894427191,-0.894427191,-0.894427191,-0.894427191,NA,10,2.5,21,8,NA,NA,NA
Scleroderma_citrinum,1,19,2,1,0,0,3,6,25,3,4,0,0,0,7,0,0,3,1,1,0,0,1,3,9,0,2,3,0,18,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4.3,12,3,NA,NA,NA
Coniophora_puteana,1,22,2,12,4,0,2,3,18,3,3,6,0,2,14,0,0,10,4,1,0,1,1,4,10,1,1,0,0,18,25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5891284,NA,NA,NA,NA,NA,NA,NA
Thelephora_terrestris,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.86904955,NA,NA,NA,NA,44,NA,0.72
Trametes_versicolor,1,16,4,5,0,0,2,3,0,2,2,3,1,4,11,0,0,18,5,1,26,0,1,4,11,3,6,0,0,17,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.00782927,NA,NA,NA,NA,43.88148148,4.029230769,0.21
Punctularia_strigosozonata,1,13,4,9,3,0,2,8,0,2,2,7,1,5,10,0,0,13,2,2,11,0,1,4,8,1,3,1,0,18,26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.48982208,NA,NA,NA,NA,NA,NA,NA
Gloeophyllum_trabeum,1,14,2,5,4,0,2,7,0,3,7,5,0,0,9,0,0,4,2,2,0,1,1,4,14,1,2,1,0,17,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.05770976,NA,NA,NA,NA,44,3.233333333,NA
Serpula_lacrymans,0,13,2,5,1,0,2,5,1,2,4,1,0,0,8,0,0,5,1,1,0,0,1,3,5,0,4,1,0,13,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.0820314,NA,NA,NA,NA,NA,NA,NA
Cyclocybe_aegerita,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5961725,NA,NA,NA,NA,NA,NA,NA
Pisolithus_microcarpus,0,12,2,1,0,0,3,1,19,2,4,1,0,0,6,0,0,4,0,1,0,0,1,1,14,0,5,1,0,18,33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.1924077,NA,NA,NA,NA,NA,NA,NA
Laccaria_bicolor,1,11,2,7,0,0,7,4,5,2,1,0,0,0,11,0,0,6,3,1,1,0,1,2,12,0,3,1,0,22,26,2,NA,2025,8.3,231.5914036,7.3,NA,NA,NA,NA,104.3203101,NA,NA,NA,NA,43.7,3.825,0.68
Aspergillus_carbonarius,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.8,NA,NA,NA,NA,NA,NA,NA
Wolfiporia_cocos,1,12,2,5,0,0,2,2,0,2,1,0,0,0,9,0,0,2,2,1,1,0,1,3,9,0,3,1,0,17,27,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.7453969,NA,NA,NA,NA,NA,NA,NA
Postia_placenta,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.7771351,NA,NA,NA,NA,NA,NA,NA
Lentinula_edodes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.8849313,NA,NA,NA,NA,44,NA,1.756842105
Cenococcum_geophilum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.894427191,-0.894427191,-0.894427191,-0.894427191,247.7511898,NA,NA,NA,NA,NA,NA,NA
Kazachstania_africana,0,1,1,1,3,14,2,0,0,3,4,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,20,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizosaccharomyces_octosporus,0,4,2,4,4,1,3,0,0,4,2,0,0,0,1,0,0,0,0,0,0,2,0,0,8,1,0,0,0,17,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizosaccharomyces_cryophilus,0,4,2,3,4,0,3,0,0,4,2,0,0,0,1,0,0,0,0,0,0,3,0,0,16,1,0,0,0,18,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spathaspora_passalidarum,0,5,1,3,4,5,2,0,0,3,1,0,0,0,5,0,0,0,0,0,0,3,0,0,2,0,0,0,1,18,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoderma_reesei,0,6,0,4,8,2,2,1,0,1,2,2,1,2,19,0,0,2,2,0,0,2,0,0,3,0,3,0,1,0,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyronema_omphalodes,0,6,2,5,7,1,3,2,0,1,6,5,1,2,5,0,0,9,1,0,1,1,1,1,5,1,13,1,1,19,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylellina_haptotyla,1,8,4,5,6,3,3,2,0,1,5,8,1,5,8,0,0,27,1,0,0,1,1,0,3,0,29,1,2,19,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verticillium_alfalfae,0,8,4,8,7,0,2,5,0,1,8,17,2,6,12,0,0,20,5,0,3,2,0,3,1,3,7,0,5,16,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serendipita_indica,1,9,5,8,0,0,2,6,0,1,2,5,1,1,4,0,0,23,1,3,0,1,0,0,5,1,7,0,1,22,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uncinocarpus_reesii,1,9,1,1,3,2,2,0,0,1,2,1,0,0,13,0,0,0,0,0,0,1,0,2,2,0,5,0,2,19,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moesziomyces_antarcticus,1,9,1,4,1,0,2,3,0,1,1,3,0,0,2,1,0,0,0,1,0,0,1,3,1,2,2,0,1,19,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Volvariella_volvacea,1,10,3,6,0,0,4,6,1,2,4,13,4,11,13,0,0,30,2,1,7,0,3,4,9,0,4,1,1,19,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dothistroma_septosporum,1,10,2,9,7,2,4,3,0,1,3,9,0,1,9,0,0,2,3,1,1,1,0,7,2,2,9,1,1,15,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neofusicoccum_parvum,1,10,2,11,7,1,3,5,0,2,8,16,0,2,11,0,0,12,4,0,4,1,0,6,3,4,12,1,2,18,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cylindrobasidium_torrendii,1,11,3,7,3,0,3,9,0,2,1,15,3,5,22,0,0,24,4,1,0,0,1,3,8,0,6,0,1,18,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plicaturopsis_crispa,1,11,5,4,2,1,2,6,0,2,4,3,2,1,8,0,0,9,2,2,7,0,1,5,9,0,8,0,0,18,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaerulina_musiva,1,11,3,9,7,2,3,4,0,1,1,5,0,0,5,0,0,2,2,1,1,1,0,5,2,2,13,2,2,17,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grosmannia_clavigera,1,12,2,1,9,2,4,1,0,1,2,6,0,3,11,0,1,2,5,0,1,1,0,2,2,0,9,1,1,18,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auricularia_subglabra,1,12,2,10,7,0,3,14,0,4,2,27,2,6,29,0,0,19,2,1,19,5,1,7,13,2,10,1,1,17,29,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parastagonospora_nodorum,0,13,3,10,6,1,3,3,0,1,3,11,3,5,13,0,0,26,3,0,3,1,1,7,3,4,10,1,3,17,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phanerochaete_carnosa,1,13,2,8,0,0,2,4,0,2,2,4,1,5,10,0,0,11,3,1,11,0,1,4,7,0,2,1,0,19,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glarea_lozoyensis,0,13,3,4,12,4,3,3,0,1,5,12,3,5,14,0,0,24,2,0,5,1,0,3,6,3,17,2,2,17,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fusarium_fujikuroi,0,13,3,8,9,2,4,6,0,1,5,23,1,3,16,0,0,13,4,1,1,3,0,0,3,6,14,1,4,18,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus_fischeri,0,14,5,8,9,2,3,4,0,1,9,18,2,5,20,0,0,8,5,0,0,1,0,5,4,4,5,2,5,20,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phlebiopsis_gigantea,1,15,2,6,0,0,2,3,0,2,2,5,1,5,11,0,0,14,3,1,9,0,1,4,4,0,3,0,0,16,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaerobolus_stellatus,1,16,3,11,2,0,3,2,2,2,5,11,0,11,19,0,0,35,5,1,67,0,1,7,15,1,13,0,0,15,30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metarhizium_acridum,1,16,2,6,13,0,2,2,0,1,3,1,0,0,18,0,1,1,1,0,2,1,0,4,5,2,5,1,4,20,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaapia_argillacea,1,18,2,5,0,0,2,4,0,4,4,2,2,5,8,0,0,14,8,1,1,1,1,1,8,0,4,1,0,19,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phlebia_brevispora,1,18,4,5,0,0,2,4,0,11,2,1,1,4,19,0,0,12,2,2,17,0,3,4,10,0,9,1,0,16,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydnomerulius_pinastri,1,22,2,6,6,0,2,3,14,3,4,2,0,4,11,0,0,14,3,1,0,0,1,3,5,0,6,1,0,18,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichomitus_squalens,0,22,2,6,1,0,2,3,0,2,5,7,1,4,14,0,0,14,3,0,12,0,1,5,14,2,3,0,0,19,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metschnikowia_bicuspidata,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naumovozyma_castellii,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tolypocladium_capitatum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lasallia_pustulata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alyxoria_varia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
