tip.label,FSA,acidPhosphatase_count,alphaGlucosidase15_count,alphaGlucosidase31_count,alphaManNAase76_count,aminoAcidPermease_count,ammoniumTransporter_count,amylase88_count,auxinResponsivePromoter_count,betaGlucanSynthase_count,betaGlucosidase1_count,betaXylosidase43_count,cellobiohydrolase6_count,cellobiohydrolase7_count,chitinase_count,chitosanase8_count,coldShockProtein_count,crystalineCellulaseAA9_count,endoglucanase12_count,endoglucanase9_count,fungalLigninPeroxidase_count,glucosidase81_count,glycopeptidase85_count,glycoproteinSynthesis92_count,heatShockProtein_count,invertase32_count,melanin_count,nitrateTransporter_count,phosphateTransporter_count,RNAHelicase_count,RNApolymerase_count,trehalase_count,extension_rate,fruiting_body_size,spore_length,spore_size,spore_width,Cohens_d_Glucose,Cohens_d_Lignin,Cohens_d_Tannin,Cohens_d_Xylan,melanin_content,sporocarp_chitin,sporocarp_N,sporocarp_protein,sporocarp_resp,tissue_c,tissue_n,tissue_p
Paxillus_involutus,0,22,4,5,0,0,2,2,27,3,4,0,0,0,13,0,0,5,0,6,0,0,1,4,7,0,14,1,0,19,31,3,NA,9025,9,158.5247653,5.8,NA,NA,NA,NA,121.002797,7,4,67,12,43.73333333,3.1625,0.526
Amanita_muscaria,1,8,2,5,0,0,1,1,0,2,0,2,0,0,13,0,0,2,0,1,0,1,1,4,16,0,3,0,0,21,26,2,NA,16900,9,199.0984344,6.5,NA,NA,NA,NA,46.38060948,9,4.1,37,10,44.38333333,4.566666667,0.625
Mycena_pura,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,6.5,41.69155251,3.5,NA,0.894427191,NA,NA,NA,9,5.9,94,24,43.7,6.6,NA
Pluteus_cervinus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7225,7.3,115.6236996,5.5,NA,NA,NA,NA,NA,11,3.9,33,15,44,3.76,0.93
Pleurotus_ostreatus,1,13,3,8,2,1,3,5,0,2,5,8,2,17,11,0,0,29,2,1,9,0,1,6,12,1,4,0,1,19,30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.72186309,NA,NA,NA,NA,43.44086957,4.776,0.718888889
Hygrophoropsis_aurantiaca,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,4.6,NA
Armillaria_ostoyae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600,9,142.5497667,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycena_sanguinolenta,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,8.5,125.0170617,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galerina_marginata,1,10,3,4,2,1,4,5,2,4,9,4,3,12,16,0,0,18,4,1,23,0,1,7,9,1,4,2,0,17,27,2,NA,306,9,142.5497667,5.5,NA,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armillaria_mellea,1,11,5,5,1,0,4,3,0,2,10,5,2,4,12,0,0,21,4,2,10,0,1,4,10,0,12,0,1,17,19,3,NA,3600,8,126.7109037,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1.96,0.746666667
Schizophyllum_commune,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armillaria_gallica,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tolypocladium_ophioglossoides,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claviceps_purpurea,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ustilago_maydis,1,15,1,3,1,0,2,2,0,1,0,2,0,0,2,1,0,0,0,2,0,0,1,3,1,2,1,0,1,18,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.69521123,NA,NA,NA,NA,NA,NA,NA
Zygosaccharomyces_rouxii,0,1,1,2,2,6,2,0,0,2,1,0,0,0,2,0,0,0,0,1,0,1,1,0,6,1,0,0,0,18,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tremella_mesenterica,0,8,2,2,0,0,1,1,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium_chrysogenum,0,12,4,12,7,3,3,2,0,1,4,11,1,2,11,0,0,4,4,1,0,1,0,4,6,6,6,1,3,18,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus_flavus,1,17,3,10,10,3,3,5,0,1,3,17,1,3,16,0,0,7,5,0,0,1,0,6,4,4,10,1,4,19,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA
Aspergillus_niger,1,17,2,7,11,3,3,3,0,1,4,10,2,2,15,0,0,7,4,0,0,1,0,5,4,4,8,1,1,19,27,1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,2.24,NA,NA,NA,NA,NA,NA,NA
Aspergillus_ruber,0,9,3,5,8,2,3,2,0,1,5,7,0,2,8,0,0,5,2,0,0,1,0,2,2,4,3,1,1,19,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botrytis_cinerea,0,11,4,6,9,1,1,2,0,1,6,5,1,3,7,0,0,9,4,0,0,2,0,5,2,2,9,1,1,18,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus_fumigatus,1,12,5,7,7,2,3,4,0,1,9,16,1,4,16,0,0,7,4,0,0,1,0,4,4,4,3,2,3,20,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletotrichum_higginsianum,1,13,5,7,11,1,4,8,0,1,1,17,2,8,20,0,0,22,10,1,6,2,0,5,3,0,21,1,6,18,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
