"","speciesMatched","Phylum","FDA","ascus_dehiscence","auxinResponsivePromoter_count","growth_form_fg","spore_length","spore_width","trophic_mode_fg"
"37","Coprinellus micaceus","Basidiomycota","Yes",NA,NA,NA,8.8,5.1,NA
"38","Coprinopsis cinerea","Basidiomycota","No",NA,0,"NULL",NA,NA,"Saprotroph"
"39","Cordyceps militaris","Ascomycota","No",NA,0,NA,NA,NA,NA
"40","Cyberlindnera jadinii","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph"
"41","Cylindrobasidium torrendii","Basidiomycota","Yes",NA,0,NA,NA,NA,NA
"42","Dactylellina haptotyla","Ascomycota","Yes",NA,0,NA,NA,NA,NA
"43","Debaryomyces hansenii","Ascomycota","Yes","Deliquescent",NA,"Yeast",NA,NA,"Saprotroph"
"44","Debaryomyces hansenii","Ascomycota","Yes",NA,0,"Yeast",NA,NA,"Saprotroph"
"45","Dichomitus squalens","Basidiomycota","No",NA,0,NA,NA,NA,NA
"46","Diversispora epigaea","Mucoromycota","Yes",NA,NA,NA,105,45,NA
"47","Dothistroma septosporum","Ascomycota","Yes",NA,0,NA,NA,NA,NA
"48","Endogone sp.","Mucoromycota","Yes",NA,NA,"Gasteroid",NA,NA,"Symbiotroph"
"49","Epicoccum nigrum","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph-Symbiotroph"
"50","Eutypa lata","Ascomycota","No","Poricidal",NA,"NULL",NA,NA,"Pathotroph"
"51","Eutypa lata","Ascomycota","No",NA,0,"NULL",NA,NA,"Pathotroph"
"52","Exophiala spinifera","Ascomycota","Yes",NA,NA,"NULL",NA,NA,"Pathotroph"
"53","Exophiala xenobiotica","Ascomycota","Yes",NA,NA,"NULL",NA,NA,"Pathotroph"
"54","Exserohilum turcicum","Ascomycota","Yes",NA,0,"NULL",NA,NA,"Pathotroph"
"55","Fibroporia radiculosa","Basidiomycota","Yes",NA,0,NA,NA,NA,NA
"56","Fistulina hepatica","Basidiomycota","Yes",NA,0,NA,NA,NA,NA
"57","Fusarium culmorum","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph"
"58","Fusarium oxysporum","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph-Saprotroph-Symbiotroph"
"59","Fusarium oxysporum","Ascomycota","No",NA,0,"NULL",NA,NA,"Pathotroph-Saprotroph-Symbiotroph"
"60","Galerina marginata","Basidiomycota","Yes",NA,NA,"Agaricoid",9,5.5,"Saprotroph"
"61","Galerina marginata","Basidiomycota","Yes",NA,2,"Agaricoid",NA,NA,"Saprotroph"
"62","Galerina marginata","Basidiomycota","Yes",NA,NA,"Agaricoid",NA,NA,"Saprotroph"
"63","Gibberella fujikuroi","Ascomycota","No",NA,0,"NULL",NA,NA,"Pathotroph-Symbiotroph"
"64","Gibberella zeae","Ascomycota","No","Poricidal",NA,"NULL",NA,NA,"Pathotroph-Symbiotroph"
"65","Gibberella zeae","Ascomycota","No",NA,0,"NULL",NA,NA,"Pathotroph-Symbiotroph"
"66","Gibberella zeae","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph-Symbiotroph"
"67","Gigaspora rosea","Mucoromycota","No",NA,NA,NA,75,75,NA
"68","Gloeophyllum trabeum","Basidiomycota","Yes",NA,0,NA,NA,NA,NA
