model	n_rate_cats	n_params	neg_log_lik	AIC	AICc
independent_model_fit	1	36	-1113.14	2250.28	2250.7
hidden_Markov_independent_model_fit	2	90	-1004.61	2061.23	2063.18
correlated_model_fit	1	36	-1040.81	2153.61	2157.37
hidden_Markov_correlated_model_fit	2	90	-947.47	2042.93	2059.45
