"","Organism","n_prot"
"1","'Aporospora terricola' (nom. ined.)",2
"2","[Acremonium] antarcticum",2
"3","[Acremonium] macroclavatum",1
"4","[Anthodidymella] ranunculacearum (nom. inval.)",5
"5","[Arthonia] cinnabarina f. cuspidans",4
"6","[Bisifusarium] tonghuanum",5
"7","[Caloplaca] arnoldii subsp. oblitterata",1
"8","[Candida] adriatica",2
"9","[Candida] aechmeae",4
"10","[Candida] akabanensis",3
"11","[Candida] alai",16
"12","[Candida] allociferrii",1
"13","[Candida] arabinofermentans",1
"14","[Candida] arabinofermentans NRRL YB-2248",5576
"15","[Candida] ascalaphidarum",2
"16","[Candida] asparagi",3
"17","[Candida] blankii",5
"18","[Candida] blattae",3
"19","[Candida] boleticola",3
"20","[Candida] broadrunensis",4
"21","[Candida] bromeliacearum",6
"22","[Candida] caryicola",3
"23","[Candida] chilensis",3
"24","[Candida] cloacae",2
"25","[Candida] diddensiae",3
"26","[Candida] dosseyi",3
"27","[Candida] duobushaemulonis",4960
"28","[Candida] entomophila",3
"29","[Candida] flosculorum",4
"30","[Candida] fluviatilis",3
"31","[Candida] glaebosa",7
"32","[Candida] golubevii",3
"33","[Candida] haemuloni",5012
"34","[Candida] haemuloni var. vulneris",9
"35","[Candida] heliconiae",3
"36","[Candida] hispaniensis",10
"37","[Candida] incommunis",5
"38","[Candida] inconspicua",4777
"39","[Candida] insectalens",2
"40","[Candida] insectamans",3
"41","[Candida] insectorum",5
"42","[Candida] intermedia",10617
"43","[Candida] ipomoeae",37
"44","[Candida] kutaonensis",1
"45","[Candida] lignicola (nom. inval.)",4
"46","[Candida] lyxosophila",7
"47","[Candida] magnifica",3
"48","[Candida] manassasensis",3
"49","[Candida] maris",1
"50","[Candida] melibiosica",4
"51","[Candida] membranifaciens",9
"52","[Candida] membranifaciens subsp. flavinogenes",1
"53","[Candida] mesenterica",5
"54","[Candida] methanosorbosa",1
"55","[Candida] metrosideri (nom. inval.)",2
"56","[Candida] mogii",3
"57","[Candida] mucifera",1
"58","[Candida] multigemmis",7
"59","[Candida] norvegica",26
"60","[Candida] ohialehuae (nom. inval.)",4
"61","[Candida] oregonensis",13
"62","[Candida] palmioleophila",6
"63","[Candida] piceae",1
"64","[Candida] picinguabensis",4
"65","[Candida] pseudofarinosa",6
"66","[Candida] pseudoglaebosa",4
"67","[Candida] pseudohaemulonii",4877
"68","[Candida] pseudointermedia",4
"69","[Candida] psychrophila",28
"70","[Candida] railenensis",2
"71","[Candida] rugopelliculosa",3
"72","[Candida] saitoana",8
"73","[Candida] sake",22
"74","[Candida] santamariae",1
"75","[Candida] santamariae var. membranifaciens",3
"76","[Candida] santamariae var. santamariae",4
"77","[Candida] saopauloensis",4
"78","[Candida] savonica",5
"79","[Candida] sequanensis",4
"80","[Candida] silvicultrix",1
"81","[Candida] sinolaborantium",2
"82","[Candida] solani",3
"83","[Candida] sonorensis",7
"84","[Candida] sophiae-reginae",8
"85","[Candida] sorboxylosa",7
"86","[Candida] sp. 1 SOS-2012",2
"87","[Candida] sp. 10-1",1
"88","[Candida] sp. 11-14.2",3
"89","[Candida] sp. 2 SOS-2012",2
"90","[Candida] sp. 2-1",1
"91","[Candida] sp. 5-3",1
"92","[Candida] sp. 9-3",1
"93","[Candida] sp. AC-IITM",6
"94","[Candida] sp. CBS 2607",2
"95","[Candida] sp. CLIB 1300",1
"96","[Candida] sp. Envir-L230",3
"97","[Candida] sp. Envir-L231",2
"98","[Candida] sp. GCY 2005",1
"99","[Candida] sp. H2",1
"100","[Candida] sp. HN95",3
"101","[Candida] sp. NR20-09-21",1
"102","[Candida] sp. NR20-09-22",1
"103","[Candida] sp. NRRL Y-27267",1
"104","[Candida] sp. NRRL Y-5750",1
"105","[Candida] sp. NRRL YB-4088",1
"106","[Candida] sp. WM 1169",1
"107","[Candida] sp. ZIM 2280",1
"108","[Candida] sp. ZIM 2320",1
"109","[Candida] sp. ZIM 2330",1
"110","[Candida] sp. ZIM 2336",1
"111","[Candida] sp. ZIM 2338",1
"112","[Candida] subhashii",23
"113","[Candida] succiphila",1
"114","[Candida] temnochilae",2
"115","[Candida] thailandica",4
"116","[Candida] thasaenensis",4
"117","[Candida] tolerans",4
"118","[Candida] tsuchiyae",5
"119","[Candida] tunisiensis",2
"120","[Candida] ubatubensis",4
"121","[Candida] vartiovaarae",18
"122","[Candida] zeylanoides",7
"123","[Chrysosporium] lobatum",5
"124","[Chrysosporium] pseudomerdarium",2
"125","[Cryptococcus] albidus var. albidus",3
