"","Organism","n_prot"
"126","[Cryptococcus] albidus var. kuetzingii",8
"127","[Cryptococcus] albidus var. ovalis",3
"128","[Cryptococcus] antarcticus var. circumpolaris",4
"129","[Encoelia] fimbriata",2
"130","[Encoelia] heteromera",4
"131","[Exophiala] eucalyptorum",3
"132","[Floricola] clematidis",1
"133","[Geosmithia] sp. NRRL 35616",2
"134","[Geosmithia] sp. NRRL 35677",3
"135","[Geosmithia] sp. NRRL 35678",3
"136","[Gibberella] fujikuroi var. intermedia",9
"137","[Gibberella] fujikuroi var. moniliformis",2
"138","[Graphium] euwallaceae",3
"139","[Humicola] grisea var. grisea",5
"140","[Hymenula] cerealis",2
"141","[Hypocrea] coprosmae",1
"142","[Hypocrea] muroiana",1
"143","[Hypocrella] hypoxylon var. piluliformis",4
"144","[Hypomyces] dactylarioides",4
"145","[Metacordyceps] shibinensis",2
"146","[Neocosmospora] boninensis",3
"147","[Neocosmospora] magnoliae",1
"148","[Neocosmospora] rubicola",16
"149","[Neocosmospora] sp. 'African soil'",1
"150","[Neocosmospora] sp. N1-4",1
"151","[Neosartorya] fischeri var. verrucosa",1
"152","[Neotyphodium] typhinum var. canariense",2
"153","[Paecilomyces] niphetodes",3
"154","[Paecilomyces] penicillatus",18
"155","[Paecilomyces] wawuensis",1
"156","[Pichia] myanmarensis",1
"157","[Psychrophila] antarctica (nom. inval.)",1
"158","[Psychrophila] lutea (nom. inval.)",1
"159","[Psychrophila] olivacea (nom. inval.)",1
"160","[Ramusculicola] clematidis",2
"161","[Rhodotorula] futronensis",4
"162","[Rhodotorula] nothofagi",4
"163","[Sclerotium] delphinii",5
"164","[Sigarispora] rosicola",1
"165","[Taeniolella] phialosperma",1
"166","[Tapesia] villosa",1
"167","[Torrubiella] hemipterigena",11065
"168","[Verticillium] coccosporum",7
"169","[Verticillium] epiphytum",2
"170","[Verticillium] incurvum",4
"171","[Verticillium] insectorum",1
"172","Aaosphaeria arxii CBS 175.79",13815
"173","Abortiporus biennis",3
"174","Abrachium floriforme",2
"175","Abrothallus acetabuli",1
"176","Abrothallus boomii",1
"177","Abrothallus canariensis",1
"178","Abrothallus eriodermae",2
"179","Abrothallus etayoi",1
"180","Abrothallus granulatae",1
"181","Abrothallus kamchatica",1
"182","Abrothallus nephromatis",4
"183","Abrothallus secedens",3
"184","Abrothallus sp. Perez-Ortega 3155 (MA)",1
"185","Abrothallus sp. von Brackel 5491",1
"186","Abrothallus welwitschii",6
"187","Absconditella sp. Spribille 39168",3
"188","Absconditella sphagnorum",1
"189","Absidia anomala",1
"190","Absidia caerulea",9
"191","Absidia californica",4
"192","Absidia cuneospora",1
"193","Absidia cylindrospora",1
"194","Absidia edaphica",2
"195","Absidia glauca (Pin mould)",14217
"196","Absidia idahoensis",4
"197","Absidia koreana",4
"198","Absidia macrospora",2
"199","Absidia panacisoli",1
"200","Absidia pseudocylindrospora",3
"201","Absidia psychrophilia",2
"202","Absidia repens",14353
"203","Absidia soli",1
"204","Absidia sp. HBL-2018a",4
"205","Absidia spinosa",8
"206","Absidia stercoraria",4
"207","Abtylopilus scabrosus",3
"208","Abundisporus fuscopurpureus",2
"209","Abundisporus mollissimus",1
"210","Abundisporus pubertatis",6
"211","Abundisporus roseoalbus",1
"212","Abundisporus violaceus",3
"213","Acanthohelicospora aurea",2
"214","Acantholichen campestris",1
"215","Acantholichen galapagoensis",2
"216","Acantholichen pannarioides",2
"217","Acanthonitschkea argentinensis",1
"218","Acanthonitschkea tristis",1
"219","Acanthophysellum cerussatum",1
"220","Acanthostigma chiangmaiense",1
"221","Acanthostigma sp. SB-2014b",1
"222","Acanthostigmina sp. SB-2014",1
"223","Acanthothecis fontana",12
"224","Acanthothecis peplophora",4
"225","Acanthothecis poitaeoides",1
"226","Acanthotrema alboisidiatum",2
"227","Acaromyces ingoldii",7585
"228","Acarospora badiofusca",1
"229","Acarospora bohlinii",1
"230","Acarospora fulvoviridula",1
"231","Acarospora fuscata",1
"232","Acarospora laqueata",2
"233","Acarospora schleicheri",3
"234","Acarospora sp. Hertel 39.701",1
"235","Acarospora strigata",2
"236","Acarospora tianshanica",2
"237","Acarosporina microspora",2
"238","Acaulium acremonium",1
"239","Acaulium album",2
"240","Acaulium caviariforme",1
"241","Acaulium peruvianum",1
"242","Acaulium retardatum",1
"243","Acaulospora colombiana",3
"244","Acaulospora dilatata",1
"245","Acaulospora foveata",1
"246","Acaulospora kentinensis",2
"247","Acaulospora koskei",1
"248","Acaulospora lacunosa",2
"249","Acaulospora laevis",12
"250","Acaulospora longula",1
"251","Acaulospora mellea",2
"252","Acaulospora morrowiae",2
"253","Acaulospora scrobiculata",3
"254","Acephala applanata",24
"255","Acephala macrosclerotiorum",2
"256","Acervuloseptoria ziziphicola",1
"257","Acervus beijingensis",3
"258","Acervus changchunensis",3
"259","Acervus epispartius",5
"260","Acervus flavidus",4
"261","Acervus globulosus",3
"262","Acervus heilongjiangensis",3
"263","Acervus rufus",3
"264","Acervus sp. 9163",1
"265","Acervus stipitatus",4
"266","Achaetomiella gracilis",8
"267","Achaetomiella virescens",6
"268","Achaetomium aegilopis",1
"269","Achaetomium globosum",4
"270","Achaetomium lippiae",1
"271","Achaetomium luteum",4
"272","Achaetomium macrosporum",2
"273","Achaetomium sp. Xz-8",6
"274","Achaetomium sp. Xz8",1
"275","Achroceratosphaeria potamia",1
"276","Achroiostachys aurantispora",5
"277","Achroiostachys betulicola",8
"278","Achroiostachys humicola",8
"279","Achroiostachys levigata",5
"280","Achroiostachys phyllophila",4
"281","Achroiostachys saccharicola",4
"282","Achrotelium ichnocarpi",1
"283","Aciculadictyochaeta luquillensis",1
"284","Aciculoconidium aculeatum",1
"285","Aciculopsora salmonea",1
"286","Aciculosporium take",18
"287","Acidiella bohemica",2
"288","Acidomyces acidophilus",2
"289","Acidomyces richmondensis BFW",10856
"290","Acidomyces sp",3
"291","Acidotalaromyces lignorum",5
"292","Acolium inquinans",1
"293","Acremonium acutatum",1
"294","Acremonium alternatum",1
"295","Acremonium charticola",2
"296","Acremonium egyptiacum (Oospora egyptiaca)",44
"297","Acremonium mali",1
"298","Acremonium potronii",1
"299","Acremonium sclerotigenum",22
"300","Acremonium sp",19
"301","Acremonium sp. 06699",1
"302","Acremonium sp. 06857",1
"303","Acremonium sp. 11665 DLW-2010",2
"304","Acremonium sp. 214",2
"305","Acremonium sp. 307",2
"306","Acremonium sp. 324",2
"307","Acremonium sp. 407",2
"308","Acremonium sp. A104",3
"309","Acremonium sp. A105",3
"310","Acremonium sp. A106",3
"311","Acremonium sp. A107",3
"312","Acremonium sp. A108",3
"313","Acremonium sp. A109",3
"314","Acremonium sp. A110",3
"315","Acremonium sp. A111",3
"316","Acremonium sp. BCC 9275",6
"317","Acremonium sp. BCCM/IHEM 7465",1
"318","Acremonium sp. CCF3791",1
"319","Acremonium sp. CLY-2019",1
"320","Acremonium sp. DSM 24697",2
"321","Acremonium sp. E102",3
"322","Acremonium sp. F11177",1
"323","Acremonium sp. HI-25",1
"324","Acremonium sp. KUC21242",1
"325","Acremonium sp. KUC21262",1
"326","Acremonium sp. NJM 0567",1
"327","Acremonium sp. NJM 0672",1
"328","Acremonium sp. No.413",1
"329","Acremonium sp. OeAc 1",1
"330","Acremonium sp. OXF C13",2
"331","Acremonium sp. UCR2318",4
"332","Acrocalymma fici",2
"333","Acrocalymma medicaginis",1
"334","Acrocalymma pterocarpi",1
"335","Acrocalymma sp",2
"336","Acrocalymma walkeri",1
"337","Acrocordia subglobosa",1
"338","Acrocordiopsis patilii",3
"339","Acrodictys bambusicola",1
"340","Acrodictys liputii",1
"341","Acrodictys porosiseptata",1
"342","Acrodontium crateriforme",16
"343","Acrodontium fagicola",1
"344","Acrodontium luzulae",2
"345","Acrodontium pigmentosum",1
"346","Acrogenospora aquatica",4
"347","Acrogenospora carmichaeliana",4
"348","Acrogenospora guttulatispora",1
"349","Acrogenospora obovoidspora",2
"350","Acrogenospora olivaceospora",2
"351","Acrogenospora submersa",2
"352","Acrogenospora thailandica",1
"353","Acrogenospora verrucispora",2
"354","Acrogenospora yunnanensis",2
"355","Acrophialophora acuticonidiata",1
"356","Acrophialophora angustiphialis",1
"357","Acrophialophora ellipsoidea",3
"358","Acrophialophora fusispora",3
"359","Acrophialophora hechuanensis",4
"360","Acrophialophora jodhpurensis",9
"361","Acrophialophora levis",1
"362","Acrophialophora liboensis",2
"363","Acrophialophora major",5
"364","Acrophialophora nainiana",5
"365","Acrophialophora teleoafricana",2
"366","Acrospermum adeanum",1
"367","Acrospermum graminum",1
"368","Acrostalagmus luteoalbus",11
"369","Actinomortierella ambigua",4
"370","Actinomortierella capitata",7
"371","Actinomortierella wolfii",7
"372","Actinomucor elegans",30
"373","Actinomucor elegans var. elegans",2
"374","Actinomucor elegans var. meitauzae",2
"375","Acuminatispora palmarum",2
"376","Adelolecia pilati",1
"377","Adelosphaeria catenata",3
"378","Adelphella babingtonii",5
"379","Aderkomyces heterellus",1
"380","Adustoporia sinuosa",16
"381","Aecidium brachycomes",1
"382","Aecidium eburneum",2
"383","Aecidium otagense",2
"384","Aecidium platylobii",2
"385","Aecidium ranunculi-insignis",1
"386","Aecidium sp. DAR 75723",2
"387","Aecidium sp. DAR 75725",1
"388","Aequabiliella effusa",2
"389","Aequabiliella palatina",2
"390","aff. Geomyces sp. 23WI14",1
"391","aff. Geomyces sp. N AM-2013",4
"392","aff. Geomyces sp. O AM-2013",5
"393","aff. Geomyces sp. P AM-2013",3
"394","Afroboletus aff. multijugus",4
"395","Afroboletus costatisporus",4
"396","Afroboletus luteolus",89
"397","Afroboletus multijugus",17
"398","Afroboletus pterosporus",66
"399","Afrocastellanoa ivoryana",1
"400","Afroraffaelea ambrosiae",1
"401","Agaricaceae sp",2
"402","Agaricaceae sp. ecv3613",2
"403","Agaricaceae sp. RC_Mart06_016",1
"404","Agaricomycetes sp",2
"405","Agaricus abruptibulbus",1
"406","Agaricus aff. campestris 6242",1
"407","Agaricus aff. campestris PBM 2580",1
"408","Agaricus albiceps",1
"409","Agaricus albosquamosus",1
"410","Agaricus alboumbonatus",1
"411","Agaricus amoenomyces",1
"412","Agaricus aridicola",2
"413","Agaricus armandomyces",7
"414","Agaricus arrillagarum",2
"415","Agaricus arvensis",5
"416","Agaricus atroumbonatus",1
"417","Agaricus augustus",1
"418","Agaricus bambusetorum",1
"419","Agaricus benesii (Mushroom) (Psalliota benesii)",1
"420","Agaricus bernardiiformis",1
"421","Agaricus biannulatus",1
"422","Agaricus biberi",2
"423","Agaricus bisporiticus",1
"424","Agaricus bisporus (White button mushroom)",196
"425","Agaricus bisporus var. bisporus",20
"426","Agaricus bisporus var. bisporus (strain H97 / ATCC MYA-4626 / FGSC 10389) (White button mushroom)",44
"427","Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom)",10948
"428","Agaricus bisporus var. eurotetrasporus",8
"429","Agaricus bitorquis (Pavement mushroom) (Psalliota bitorquis)",7
"430","Agaricus blatteus",2
"431","Agaricus blazei",4
"432","Agaricus bohusii",1
"433","Agaricus bonussquamulosus",1
"434","Agaricus brasiliensis",5
"435","Agaricus brunneogracilis",1
"436","Agaricus brunneolus",2
"437","Agaricus brunneopileatus",1
"438","Agaricus californicus (California agaricus)",1
"439","Agaricus callacii",3
"440","Agaricus campestris (Field mushroom)",6
"441","Agaricus candidolutescens",1
"442","Agaricus catenatus",1
"443","Agaricus catenocystis",1
"444","Agaricus cerinupileus",6
"445","Agaricus cf. bernardi CA383",1
"446","Agaricus cf. essettei ZRL2012026",1
"447","Agaricus comtulus",5
"448","Agaricus coniferarum",1
"449","Agaricus crassisquamosus",1
"450","Agaricus crocodilinus",2
"451","Agaricus cupressicola",1
"452","Agaricus daliensis",1
"453","Agaricus depressus",1
"454","Agaricus desjardinii",1
"455","Agaricus devoniensis",5
"456","Agaricus dilatostipes",5
"457","Agaricus dilutibrunneus",1
"458","Agaricus diminutivus",1
"459","Agaricus dolichocaulis",1
"460","Agaricus dolichopus",1
"461","Agaricus dulcidulus",1
"462","Agaricus edmondoi",1
"463","Agaricus elongatestipes",2
"464","Agaricus erectosquamosus",3
"465","Agaricus essettei",3
"466","Agaricus fissuratus",1
"467","Agaricus flammicolor",1
"468","Agaricus flavidodiscus",1
"469","Agaricus flavopileatus",1
"470","Agaricus flocculosipes",3
"471","Agaricus friesianus",4
"472","Agaricus gemellatus",1
"473","Agaricus gemlii",4
"474","Agaricus gemloides",5
"475","Agaricus gennadii",3
"476","Agaricus globosporus",3
"477","Agaricus grandiomyces",1
"478","Agaricus gratolens",1
"479","Agaricus gregariomyces",1
"480","Agaricus griseovariegatus",1
"481","Agaricus guizhouensis",1
"482","Agaricus heinemannianus",1
"483","Agaricus hingganensis",1
"484","Agaricus huijsmanii",1
"485","Agaricus iranicus",2
"486","Agaricus jacobi",1
"487","Agaricus jingningensis",2
"488","Agaricus julius",1
"489","Agaricus karstomyces",1
"490","Agaricus kerriganii",4
"491","Agaricus kunmingensis",1
"492","Agaricus langensis",1
"493","Agaricus lanipedisimilis",1
"494","Agaricus leucolepidotus",1
"495","Agaricus lilaceps (Giant cypress agaricus)",1
"496","Agaricus linzhiensis",1
"497","Agaricus litoralis",2
"498","Agaricus litoraloides",1
"499","Agaricus lusitanicus",1
"500","Agaricus luteofibrillosus",1
"501","Agaricus luteomaculatus",1
"502","Agaricus luteopileus",1
"503","Agaricus macrocarpus",1
"504","Agaricus macropeplus",1
"505","Agaricus malangelus",1
"506","Agaricus mangaoensis",1
"507","Agaricus marisae",1
"508","Agaricus martinicensis",2
"509","Agaricus matrum",5
"510","Agaricus megacarpus",1
"511","Agaricus megalosporus",1
"512","Agaricus memnonius",1
"513","Agaricus microviolaceus",2
"514","Agaricus microvolvatulus",1
"515","Agaricus minorpurpureus",2
"516","Agaricus neimengguensis",2
"517","Agaricus nevoi",1
"518","Agaricus nigrogracilis",1
"519","Agaricus pallens",3
"520","Agaricus pallidobrunneus",1
"521","Agaricus parasubrutilescens",2
"522","Agaricus parvibicolor",3
"523","Agaricus parvibrunneus",2
"524","Agaricus parviniveus",1
"525","Agaricus patris",1
"526","Agaricus planipileus",2
"527","Agaricus pseudolutosus",1
"528","Agaricus pseudominipurpureus",4
"529","Agaricus pseudopallens",2
"530","Agaricus pseudopratensis",1
"531","Agaricus pseudopurpurellus",4
"532","Agaricus punjabensis",1
"533","Agaricus purpurellus",5
"534","Agaricus pusillobulbosus",1
"535","Agaricus pyricystis",1
"536","Agaricus rotalis",1
"537","Agaricus rufoaurantiacus",2
"538","Agaricus rufuspileus",2
"539","Agaricus silvaticus",8
"540","Agaricus sinodeliciosus",2
"541","Agaricus sinoplacomyces",1
"542","Agaricus sodalis",2
"543","Agaricus sp",38
"544","Agaricus sp. 1 MH-2017",2
"545","Agaricus sp. 11 MH-2017",2
"546","Agaricus sp. 15 MH-2017",4
"547","Agaricus sp. 16 MH-2017",1
"548","Agaricus sp. 17 MH-2017",3
"549","Agaricus sp. 18 MH-2017",2
"550","Agaricus sp. 19 MH-2017",3
"551","Agaricus sp. 20 MH-2017",1
"552","Agaricus sp. 22 MH-2017",3
"553","Agaricus sp. 23 MH-2017",2
"554","Agaricus sp. 24 MH-2017",4
"555","Agaricus sp. 27 MH-2017",2
"556","Agaricus sp. 28 MH-2017",2
"557","Agaricus sp. 29 MH-2017",2
"558","Agaricus sp. 30 MH-2017",1
"559","Agaricus sp. 31 MH-2017",1
"560","Agaricus sp. 32 MH-2017",1
"561","Agaricus sp. 33 MH-2017",1
"562","Agaricus sp. 34 MH-2017",1
"563","Agaricus sp. 35 MH-2017",1
"564","Agaricus sp. 36 MH-2017",1
"565","Agaricus sp. 37 MH-2017",1
"566","Agaricus sp. 38 MH-2017",1
"567","Agaricus sp. 39 MH-2017",1
"568","Agaricus sp. 40 MH-2017",1
"569","Agaricus sp. 6253",1
"570","Agaricus sp. AW145",2
"571","Agaricus sp. CA846",2
"572","Agaricus sp. CA848",2
"573","Agaricus sp. CA921",1
"574","Agaricus sp. ecv3244",1
"575","Agaricus sp. JH105",1
"576","Agaricus sp. LAPAM14",2
"577","Agaricus sp. LD2012162",1
"578","Agaricus sp. LD2012185",1
"579","Agaricus sp. RP32",2
"580","Agaricus sp. RWK_1789",1
"581","Agaricus sp. SHY2011073117",1
"582","Agaricus sp. SHY2012070604",2
"583","Agaricus sp. SWK014",2
"584","Agaricus sp. zrl133",1
"585","Agaricus sp. ZRL160",1
"586","Agaricus sp. ZRL2010010",1
"587","Agaricus sp. ZRL2010099",1
"588","Agaricus sp. ZRL2011039",2
"589","Agaricus sp. ZRL2011156",1
"590","Agaricus sp. ZRL2012002",1
"591","Agaricus sp. ZRL2012006",1
"592","Agaricus sp. ZRL2012012",1
"593","Agaricus sp. ZRL2012030",1
"594","Agaricus sp. ZRL2012199",1
"595","Agaricus sp. zrl2012267",1
"596","Agaricus sp. ZRL2012357",1
"597","Agaricus sp. ZRL2012474",1
"598","Agaricus sp. ZRL2012576",1
"599","Agaricus sp. ZRL2012582",1
"600","Agaricus sp. ZRL2012604",1
"601","Agaricus sp. ZRL2012608",1
"602","Agaricus sp. ZRL2012616",1
"603","Agaricus sp. ZRL2012618",2
"604","Agaricus sp. ZRL2012629",1
"605","Agaricus sp. ZRL2012630",1
"606","Agaricus sp. ZRL2012714",2
"607","Agaricus sp. ZRLLD013",1
"608","Agaricus sp. ZRLLD026",1
"609","Agaricus sp. ZRLQHY43",1
"610","Agaricus sp. ZRLWXH3067",1
"611","Agaricus sp. ZRLWXH3076",1
"612","Agaricus sp. ZRLWXH3078",1
"613","Agaricus sp. ZRLWXH3092",1
"614","Agaricus sp. ZRLWXH3150",1
"615","Agaricus sp. ZRLWXH3161",1
"616","Agaricus subfloccosus",1
"617","Agaricus subperonatus",1
"618","Agaricus subrufescens",25
"619","Agaricus subrutilescens (Wine-colored agaricus)",4
"620","Agaricus subsubensis",1
"621","Agaricus subtilipes",1
"622","Agaricus subumbonatus",1
"623","Agaricus sylvicola",1
"624","Agaricus tibetensis",1
"625","Agaricus trisulphuratus",2
"626","Agaricus tytthocarpus",1
"627","Agaricus variicystis",1
"628","Agaricus xanthochromaticus",1
"629","Agaricus xanthodermus (Poison yellow meadow mushroom)",4
"630","Agaricus yanzhiensis",4
"631","Agmasoma penaei",2
"632","Agonimia repleta",1
"633","Agonimia sp. AFTOL 684",2
"634","Agonimia tristicula",1
"635","Agrestia hispida",1
"636","Agrocybe arvalis",2
"637","Agrocybe chaxingu",5
"638","Agrocybe cylindracea (Toadstool) (Pholiota aegerita)",3
"639","Agrocybe erebia (Little brown mushroom)",2
"640","Agrocybe firma",2
"641","Agrocybe pediades",3
"642","Agrocybe praecox",5
"643","Agrocybe retigera",1
"644","Agrocybe rivulosa",1
"645","Agrocybe salicacicola",42
"646","Agrocybe sororia",1
"647","Agrocybe sp. B354",1
"648","Agyrium rufum",4
"649","Aigialus grandis",1
"650","Aigialus mangrovis",3
"651","Aigialus parvus (Marine mangrove fungus)",8
"652","Aigialus rhizophorae",2
"653","Ainoa geochroa",1
"654","Ainoa mooreana",4
"655","Ajellomyces capsulatus (Darling's disease fungus) (Histoplasma capsulatum)",247
"656","Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)",9199
"657","Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum)",9314
"658","Ajellomyces capsulatus (strain H88) (Darling's disease fungus) (Histoplasma capsulatum)",9125
"659","Ajellomyces capsulatus (strain NAm1 / WU24) (Darling's disease fungus) (Histoplasma capsulatum)",8963
"660","Ajellomyces dermatitidis (Blastomyces dermatitidis)",36
"661","Ajellomyces dermatitidis (strain ATCC 18188 / CBS 674.68) (Blastomyces dermatitidis)",10368
"662","Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis)",10074
"663","Akanthomyces aculeatus",3
"664","Akanthomyces arachnophilus",5
"665","Akanthomyces araneicola",3
"666","Akanthomyces araneogenum",5
"667","Akanthomyces attenuatus",15
"668","Akanthomyces dipterigenus",25
"669","Akanthomyces gracilis",1
"670","Akanthomyces kanyawimiae",13
"671","Akanthomyces lecanii RCEF 1005",10646
"672","Akanthomyces muscarius (Entomopathogenic fungus) (Lecanicillium muscarium)",53
"673","Akanthomyces neocoleopterorum",3
"674","Akanthomyces noctuidarum",7
"675","Akanthomyces pyralidarum",5
"676","Akanthomyces sabanensis",3
"677","Akanthomyces sp",8
"678","Akanthomyces sp. BCC42676",1
"679","Akanthomyces sp. NHJ3497",1
"680","Akanthomyces sulphureus",9
"681","Akanthomyces thailandicus",2
"682","Akanthomyces tortricidarum",6
"683","Akanthomyces tuberculatus",16
"684","Akanthomyces waltergamsii",5
"685","Alanphillipsia aloeicola",1
"686","Alanphillipsia aloeigena",1
"687","Alanphillipsia aloes",1
"688","Alanphillipsia aloetica",1
"689","Alanphillipsia euphorbiae",1
"690","Alatospora acuminata",4
"691","Albatrellus ovinus",1
"692","Albatrellus sp. 'higanensis'",3
"693","Albatrellus sp. MRD073-08",1
"694","Albifimbria lateralis",4
"695","Albifimbria terrestris",7
"696","Albifimbria verrucaria (Myrothecium leaf spot and pod blight fungus) (Myrothecium verrucaria)",44
"697","Albifimbria viridis",5
"698","Alboleptonia aff. sericella MCA1978",1
"699","Alboleptonia cystidiosa",2
"700","Alboleptonia sericella",2
"701","Alboleptonia stylophora",10
"702","Albomagister alesandrii",1
"703","Albomagister sp. 2 MSG-2014",3
"704","Albomagister sp. 3 MSG-2014",2
"705","Albomagister subaustralis",2
"706","Albotricha acutipila",1
"707","Albotricha albotestacea",1
"708","Albotricha sp. FC-2190",1
"709","Alectoria cf. sarmentosa Wright 2005-4-9",1
"710","Alectoria fallacina",14
"711","Alectoria imshaugii",4
"712","Alectoria ochroleuca",18
"713","Alectoria sarmentosa",12
"714","Alectoria sarmentosa subsp. vexillifera",2
"715","Alectoria sorediosa",1
"716","Alectoria vancouverensis",4
"717","Alectoria vexillifera",1
"718","Aleuria aurantia (Orange peel mushroom)",5
"719","Aleuria bicucullata",3
"720","Aleurina americana",3
"721","Aleurina imaii",3
"722","Aleurobotrys botryosus",1
"723","Aleurocystidiellum disciforme",1
"724","Aleurocystidiellum subcruentatum",1
"725","Aleurodiscus alpinus",1
"726","Aleurodiscus amorphus",1
"727","Aleurodiscus effusus",1
"728","Aleurodiscus grantii",2
"729","Aleurodiscus ljubarskii",1
"730","Aleurodiscus pinicola",1
"731","Aleurodiscus senticosus",3
"732","Aleurodiscus sichuanensis",1
"733","Aleurodiscus tropicus",1
"734","Aleurodiscus wakefieldiae",3
"735","Alfaria acaciae",5
"736","Alfaria avenellae",1
"737","Alfaria caricicola",4
"738","Alfaria dandenongensis",2
"739","Alfaria humicola",4
"740","Alfaria ossiformis",4
"741","Alfaria poae",3
"742","Alfaria putrefolia",2
"743","Alfaria sp. CPC 22153",3
"744","Alfaria tabebuiae",8
"745","Alfaria terrestris",8
"746","Alfaria thymi",4
"747","Alfaria vitis",1
"748","Alfoldia vorosii",3
"749","Aliquandostipite crystallinus",1
"750","Aliquandostipite khaoyaiensis",5
