Organism,kingdom,phylum,class,order,family,genus
[Candida] intermedia,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Candida
[Torrubiella] hemipterigena,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Torrubiella
Ajellomyces capsulatus,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Ajellomyces 
Arthrobotrys oligospora,Fungi,Ascomycota,Leotiomycetes,Helotiales,Orbiliaceae,Arthrobotrys
Cryptococcus gattii serotype B,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
Cryptococcus neoformans var. grubii serotype A,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
Cryptococcus neoformans var. neoformans serotype D,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
Hapsidospora chrysogenum,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,Hapsidospora
Lichtheimia corymbifera JMRC:FSU:9682,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia
Pseudogymnoascus sp. VKM F-4281,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Pseudeurotiaceae,Pseudogymnoascus
Pseudogymnoascus sp. VKM F-4513,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Pseudeurotiaceae,Pseudogymnoascus
Pseudogymnoascus sp. VKM F-4515,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Pseudeurotiaceae,Pseudogymnoascus
Pseudogymnoascus sp. VKM F-4516,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Pseudeurotiaceae,Pseudogymnoascus
Pseudogymnoascus sp. VKM F-4517,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Pseudeurotiaceae,Pseudogymnoascus
Pseudogymnoascus sp. VKM F-4518,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Pseudeurotiaceae,Pseudogymnoascus
Pseudogymnoascus sp. VKM F-4519,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Pseudeurotiaceae,Pseudogymnoascus
Pseudogymnoascus sp. VKM F-4520,Fungi,Ascomycota,Leotiomycetes,Incertae sedis,Pseudeurotiaceae,Pseudogymnoascus
Sporothrix insectorum RCEF 264,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Sporothrix
