"","protid","Organism","Taxonomic.lineage","Kingdom","Phylum","Order"
"1","A0A015ICG5","Rhizophagus irregularis (strain DAOM 197198w) (Glomus intraradices)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Glomerales (order), Glomeraceae (family), Rhizophagus (genus), Rhizophagus irregularis (species)","Fungi","Mucoromycota","Glomerales"
"2","A0A0B7FRH7","Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Cantharellales (order), Ceratobasidiaceae (family), Rhizoctonia (genus), Rhizoctonia solani (species), Rhizoctonia solani AG-1 (no rank)","Fungi","Basidiomycota","Cantharellales"
"3","A0A1E3I214","Cryptococcus depauperatus CBS 7841","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus depauperatus (species)","Fungi","Basidiomycota","Tremellales"
"4","A0A4P9W5S9","Blyttiomyces helicus","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiomycetes incertae sedis (no rank), Blyttiomyces (genus)","Fungi","Chytridiomycota","no_order_rank"
"5","C6H2X6","Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Ajellomycetaceae (family), Histoplasma (genus), Ajellomyces capsulatus (species)","Fungi","Ascomycota","Onygenales"
"6","A0A507EZQ4","Chytriomyces confervae","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Chytriomyces (genus)","Fungi","Chytridiomycota","Chytridiales"
"7","A0A1M8A8G9","Malassezia sympodialis (strain ATCC 42132) (Atopic eczema-associated yeast)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Malasseziomycetes (class), Malasseziales (order), Malasseziaceae (family), Malassezia (genus), Malassezia sympodialis (species)","Fungi","Basidiomycota","Malasseziales"
"8","U5HBM6","Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Microbotryales (order), Microbotryaceae (family), Microbotryum (genus), Microbotryum lychnidis-dioicae (species)","Fungi","Basidiomycota","Microbotryales"
"9","A0A8A3P372","Monilinia vaccinii-corymbosi","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Sclerotiniaceae (family), Monilinia (genus)","Fungi","Ascomycota","Helotiales"
"10","A0A2T0AG86","Rhodosporidium toruloides (Yeast) (Rhodotorula gracilis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Sporidiobolales (order), Sporidiobolaceae (family), Rhodotorula (genus)","Fungi","Basidiomycota","Sporidiobolales"
"11","L8WVM7","Thanatephorus cucumeris (strain AG1-IA) (Rice sheath blight fungus) (Rhizoctonia solani)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Cantharellales (order), Ceratobasidiaceae (family), Rhizoctonia (genus), Rhizoctonia solani (species), Rhizoctonia solani AG-1 (no rank)","Fungi","Basidiomycota","Cantharellales"
"12","A0A2J5I2M5","Aspergillus taichungensis","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus)","Fungi","Ascomycota","Eurotiales"
"13","A0A1U7LLW5","Neolecta irregularis (strain DAH-3)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), Taphrinomycotina (subphylum), Neolectomycetes (class), Neolectales (order), Neolectaceae (family), Neolecta (genus), Neolecta irregularis (species)","Fungi","Ascomycota","Neolectales"
"14","A0A261XW93","Bifiguratus adelaidae","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Endogonomycetes (class), Endogonales (order), Endogonales incertae sedis (no rank), Bifiguratus (genus)","Fungi","Mucoromycota","Endogonales"
"15","A0A0D7BM39","Cylindrobasidium torrendii FP15055 ss-10","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Marasmiineae (suborder), Physalacriaceae (family), Cylindrobasidium (genus), Cylindrobasidium torrendii (species)","Fungi","Basidiomycota","Agaricales"
"16","A0A397TG30","Glomus cerebriforme","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Glomerales (order), Glomeraceae (family), Glomus (genus)","Fungi","Mucoromycota","Glomerales"
"17","A0A1Y2G0G3","Leucosporidium creatinivorum","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Leucosporidiales (order), Leucosporidiaceae (family), Leucosporidium (genus)","Fungi","Basidiomycota","Leucosporidiales"
"18","A0A2Z6RT73","Rhizophagus clarus","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Glomerales (order), Glomeraceae (family), Rhizophagus (genus)","Fungi","Mucoromycota","Glomerales"
