,tip.label,Phylum,FDA,ascus_dehiscence,auxinResponsivePromoter_count,growth_form_fg,spore_length,spore_width,trophic_mode_fg
35,Conidiobolus_coronatus,Zoopagomycota,Yes,NA,0,NULL,NA,NA,Pathotroph-Saprotroph
36,Coniophora_puteana,Basidiomycota,Yes,NA,18,NA,NA,NA,NA
37,Coprinellus_micaceus,Basidiomycota,Yes,NA,NA,NA,8.8,5.1,NA
38,Coprinopsis_cinerea,Basidiomycota,No,NA,0,NULL,NA,NA,Saprotroph
39,Cordyceps_militaris,Ascomycota,No,NA,0,NA,NA,NA,NA
40,Cyberlindnera_jadinii,Ascomycota,No,NA,NA,NULL,NA,NA,Pathotroph
41,Cylindrobasidium_torrendii,Basidiomycota,Yes,NA,0,NA,NA,NA,NA
42,Dactylellina_haptotyla,Ascomycota,Yes,NA,0,NA,NA,NA,NA
43,Debaryomyces_hansenii,Ascomycota,Yes,Deliquescent,0,Yeast,NA,NA,Saprotroph
45,Dichomitus_squalens,Basidiomycota,No,NA,0,NA,NA,NA,NA
46,Diversispora_epigaea,Mucoromycota,Yes,NA,NA,NA,105,45,NA
47,Dothistroma_septosporum,Ascomycota,Yes,NA,0,NA,NA,NA,NA
48,Endogone_sp.,Mucoromycota,Yes,NA,NA,Gasteroid,NA,NA,Symbiotroph
49,Epicoccum_nigrum,Ascomycota,No,NA,NA,NULL,NA,NA,Pathotroph-Symbiotroph
50,Eutypa_lata,Ascomycota,No,Poricidal,0,NULL,NA,NA,Pathotroph
52,Exophiala_spinifera,Ascomycota,Yes,NA,NA,NULL,NA,NA,Pathotroph
53,Exophiala_xenobiotica,Ascomycota,Yes,NA,NA,NULL,NA,NA,Pathotroph
54,Exserohilum_turcicum,Ascomycota,Yes,NA,0,NULL,NA,NA,Pathotroph
55,Fibroporia_radiculosa,Basidiomycota,Yes,NA,0,NA,NA,NA,NA
56,Fistulina_hepatica,Basidiomycota,Yes,NA,0,NA,NA,NA,NA
57,Fusarium_culmorum,Ascomycota,No,NA,NA,NULL,NA,NA,Pathotroph
59,Fusarium_oxysporum,Ascomycota,No,NA,0,NULL,NA,NA,Pathotroph-Saprotroph-Symbiotroph
60,Galerina_marginata,Basidiomycota,Yes,NA,2,Agaricoid,9,5.5,Saprotroph
63,Gibberella_fujikuroi,Ascomycota,No,NA,0,NULL,NA,NA,Pathotroph-Symbiotroph
64,Gibberella_zeae,Ascomycota,No,Poricidal,0,NULL,NA,NA,Pathotroph-Symbiotroph
67,Gigaspora_rosea,Mucoromycota,No,NA,NA,NA,75,75,NA
68,Gloeophyllum_trabeum,Basidiomycota,Yes,NA,0,NA,NA,NA,NA
69,Grifola_frondosa,Basidiomycota,No,NA,NA,NULL,NA,NA,Pathotroph-Saprotroph
70,Grosmannia_clavigera,Ascomycota,No,NA,0,NA,NA,NA,NA
71,Gymnopus_androsaceus,Basidiomycota,Yes,NA,NA,NA,7.8,4.3,NA
72,Hebeloma_cylindrosporum,Basidiomycota,Yes,NA,2,NA,NA,NA,NA
73,Hydnomerulius_pinastri,Basidiomycota,No,NA,14,NA,NA,NA,NA
74,Jaapia_argillacea,Basidiomycota,Yes,NA,0,NA,NA,NA,NA
